email_domain,Company Website,company,industry,mx_provider,leads_count,Website Summary
1stchoicepersonnel.com,https://www.1stchoicepersonnel.com,1St Choice Staffing Specialists,HR and Recruiting Services,GoDaddy,3,
1stchoicestaffingagency.com,https://www.1stchoicestaffingagency.com,1St Choice Staffing Agency,HR and Recruiting Services,A-record Fallback,3,
2ma.com,https://www.2ma.com,2M Associates Inc,HR and Recruiting Services,A-record Fallback,3,
4t-technologies.com,https://www.4t-technologies.com,4T-Technologies,HR and Recruiting Services,Custom/Self-hosted,3,
4way.com,https://www.4way.com,"4 Way Logistics, Inc.",Transportation & Storage Other,Custom/Self-hosted,3,
6figurejobs.com,https://www.6figurejobs.com,6FigureJobs,HR and Recruiting Services,Google Workspace,3,
911aircargo.com,https://www.911aircargo.com,"911 Air Cargo, Inc.",Air Couriers and Cargo Services,A-record Fallback,3,
a1-staffing.com,https://www.a1-staffing.com,A-1 Temps,HR and Recruiting Services,A-record Fallback,3,
aaaheritage.com,https://www.aaaheritage.com,Aaa Heritage Moving Company Inc,Warehousing and Storage,Custom/Self-hosted,3,
aaapack.com,https://www.aaapack.com,Aaa Packing & Shipping Inc,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
aabilities.com,https://www.aabilities.com,AccountAbilities,HR and Recruiting Services,Custom/Self-hosted,3,
aada.net,https://www.aada.net,Aada Systems Inc,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
aaeweb.com,https://www.aaeweb.com,American Asia Express,Air Couriers and Cargo Services,Custom/Self-hosted,3,
aamerica.com,https://www.aamerica.com,"AAC Logistics, Inc.",Air Couriers and Cargo Services,A-record Fallback,3,
abcgroup.com,https://www.abcgroup.com,AB & C GROUP,"HR, Recruiting and Payroll Services",A-record Fallback,3,
absolutelyamerican.com,https://www.absolutelyamerican.com,Absolutely American Inc.,HR and Recruiting Services,Google Workspace,3,
accentfulfillment.com,https://www.accentfulfillment.com,Accent Fulfillment,Warehousing and Storage,Custom/Self-hosted,3,
accentjobs.com,https://www.accentjobs.com,Accent International Recruiting Group,HR and Recruiting Services,Custom/Self-hosted,3,
access-staffing.com,https://www.access-staffing.com,Access Staffing Inc,HR and Recruiting Services,Google Workspace,3,
accstaff.com,https://www.accstaff.com,"Access Staffing, Inc.",HR and Recruiting Services,A-record Fallback,3,
accuscreen.com,https://www.accuscreen.com,Accuscreen Inc,HR and Recruiting Services,Google Workspace,3,
acip.com,https://www.acip.com,"American Council on International Personnel, Inc.",HR and Recruiting Services,A-record Fallback,3,
acmeequip.com,https://www.acmeequip.com,Acme Truck Parts Equipment,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,
acoeis.com,https://www.acoeis.com,ACO,HR and Recruiting Services,A-record Fallback,3,
acrcorp.org,https://www.acrcorp.org,Acr Corp,Air Couriers and Cargo Services,A-record Fallback,3,
acrobatstaffing.com,https://www.acrobatstaffing.com,Acrobat Staffing,HR and Recruiting Services,Custom/Self-hosted,3,
acsisfo.com,https://www.acsisfo.com,Air Charter Services Intl,Air Couriers and Cargo Services,Custom/Self-hosted,3,"Summary: The page content available does not provide explicit facts to define an ICP, core specialization, services, offerings, buyer roles, industries served, geographic markets, delivery or pricing models, proof, metrics, or certifications. Therefore, no concrete details meeting the requested criteria are present. Explicit statements about ICP, specialization, differentiation, geography, scale, or proof are not provided on the page. If you can share specific sections or allow access to the full text, I can extract and summarize the explicit information accordingly."
actfastdelivery.com,https://www.actfastdelivery.com,Act Fast Delivery,Freight Hauling (Rail and Truck),Custom/Self-hosted,3,"ActFastDelivery provides courier and delivery services with operations dating back to 1977, offering STAT, same-day, next-day, and other delivery options. The company positions itself as a top-tier delivery provider for all industry types, with a large network of qualified drivers and staff available 24/7/365. Services include Dedicated Courier Service with private vehicles and drivers tailored to routed or high-volume needs, On-Demand Courier Service for time-sensitive pickups and deliveries, and Linehaul and Shipment Sortation Services for bulk shipments and long-haul needs. The Dedicated Delivery service integrates drivers as an extension of a client’s team, aiming to reduce liability and increase delivery efficiency. The On-Demand Delivery service provides rapid pickup and delivery for time-sensitive packages, documents, and materials with instant responsiveness and real-time tracking. The Linehaul and Sortation services offer transportation and organization for bulk shipments with route optimization and categorization of shipments. The Services Level section mentions STAT, Same Day, and Next Day offerings, each with real-time tracking. The company emphasizes a working process: contact, place an order via API, client portal, email, or phone, and track delivery progress with updates via text, phone, or email. Industries explicitly mentioned include Pharma and Medical, Auto, and Retail, with a Pharma and Medical Offering described as providing specialized courier services for pharmaceutical and medical products with safe, temperature-controlled, and compliant delivery. The company states a delivery area including over 1 million deliveries, more than 1 driver, and 1% on-time metrics, though specific geographic markets or limitations are not clearly defined beyond these metrics. The ICP, specialization, differentiation, geography, scale, or proof are not provided in explicit terms beyond the general statements above. The content does not specify pricing models, contract structures, or targeted buyers by role or department beyond implying client partnerships and internal teams. Explicit proof metrics include “49 Years of Experience,” “>1 Million Deliveries,” “>1 Drivers,” and “1% On-time” without further context. Geographic markets served are not explicitly stated beyond the general service area metrics."
adairassociates.com,https://www.adairassociates.com,Adair Associates Inc,HR and Recruiting Services,Custom/Self-hosted,3,
adams-inc.com,https://www.adams-inc.com,Adams Inc.,HR and Recruiting Services,Custom/Self-hosted,3,"Adams, Inc. is a privately held national search firm specializing in recruitment and placement of qualified professionals in banking, credit union, general financial, trust, captive finance, and payments. It maintains a database of over 110,000 banking and financial candidates and conducts search placements for top performers with base salaries ranging from $50,000 to $500,000. The company serves banks, savings banks, credit unions, trust companies, captive finance, and credit card companies nationwide. Services are described for two primary groups: job seekers (executive search services introducing candidates to thousands of job opportunities; proprietary database with over 110,000 job openings and over 400 active executive searches at any given time; SPEED LEAD service) and employers (full-time hires or interim executive placements; partnership with human resources departments). The SPEED LEAD service is highlighted as a rapid notification system that emails clients as soon as a job opportunity or candidate matching criteria is added to the database. The firm presents itself as offering a consultative approach and positions itself as the largest niche search firm of its kind. Geographic scope is national; no specific regional markets beyond nationwide. Explicit metrics provided include the 110,000+ candidate database, 110,000+ job openings, and 400+ active executive searches at any given time. There is no stated pricing model, contract structure, or delivery details beyond the SPEED LEAD service. The ICP, specialization, differentiation, geographic scope, scale, and proof are described in broad terms (national focus, niche in banking/financial industries, large candidate/database size, SPEED LEAD) with no explicit additional proof or case examples beyond the stated metrics. If ICP or geography details beyond “national” are required, they are not provided."
adamsandgarth.com,https://www.adamsandgarth.com,Adams & Garth Staffing and Executive Search,HR and Recruiting Services,A-record Fallback,3,
adamsdatamanagement.com,https://www.adamsdatamanagement.com,Adams Data Management,Warehousing and Storage,A-record Fallback,3,
admpg.com,https://www.admpg.com,Career Performance Group,HR and Recruiting Services,A-record Fallback,3,
advancedengineeringsolutions.com,https://www.advancedengineeringsolutions.com,Advanced Engineering Solutions Inc,HR and Recruiting Services,A-record Fallback,3,
advancedwasteservices.com,https://www.advancedwasteservices.com,Advanced Waste Services,Transportation & Storage Other,Custom/Self-hosted,3,
adven-tech.com,https://www.adven-tech.com,AdvenTech,HR and Recruiting Services,A-record Fallback,1,
advmr.net,https://www.advancedmedicalrecruiters.com,Advanced Medical Recruiters,HR and Recruiting Services,Zoho,3,
