company_name,company_website,old_icebreaker,gpt4o_mini_icebreaker,gpt4o_mini_icp,gpt4o_mini_pain,gpt4o_mini_service,gpt4o_mini_industry,gpt4o_mini_sub_industry,gpt4o_mini_specificity,gpt4o_mini_company_type,gpt4o_mini_company_stage,gpt4o_mini_geography,gpt4o_mini_confidence,gpt4o_mini_t_total_s,gpt_oss_120b_icebreaker,gpt_oss_120b_icp,gpt_oss_120b_pain,gpt_oss_120b_service,gpt_oss_120b_industry,gpt_oss_120b_sub_industry,gpt_oss_120b_specificity,gpt_oss_120b_company_type,gpt_oss_120b_company_stage,gpt_oss_120b_geography,gpt_oss_120b_confidence,gpt_oss_120b_t_total_s
Rhino Julie,http://www.rhinosquad.org,"Figured I'd reach out - I talk to a lot of founders of small-to-mid-size businesses and they keep saying they can't fill shift workers fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and executive directors at midsize nonprofit organizations and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and executive directors at midsize nonprofit organizations,board keeps rejecting candidates 3 months in,executive_search,other,nonprofit,high,mixed,not_applicable,national,9,23.69,Figured I'd reach out — I talk to a lot of CEOs and executive directors at national nonprofits and they keep saying they can't get board approval for exec hires. Thought you two should connect.,CEOs and executive directors at national nonprofits,can't get board approval for exec hires,executive_search,other,nonprofit,high,mixed,not_applicable,national,9,25.36
Virtdrop,http://www.virtdrop.com,"Figured I’d reach out — I talk to a lot of agency owners hiring full‑time VAs and they keep saying they take forever to fill qualified VAs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they struggle to find reliable virtual assistants. Thought you two should connect.,ops managers at growing private companies,struggle to find reliable virtual assistants,sourcing,other,virtual_assistants,medium,unknown,not_applicable,unknown,7,25.75,Figured I'd reach out — I talk to a lot of CEOs and founders of mission-driven organizations and they keep saying they struggle to find the right leaders for growth. Thought you two should connect.,CEOs and founders of mission-driven organizations,struggle to find the right leaders for growth,executive_search,other,,high,mixed,not_applicable,national,9,25.87
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t find qualified board leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of entrepreneurs at small to medium-sized businesses and they keep saying they struggle to find reliable virtual assistants. Thought you two should connect.,entrepreneurs at small to medium-sized businesses,struggle to find reliable virtual assistants,sourcing,other,virtual_assistants,high,smb,not_applicable,national,8,25.93,Figured I'd reach out — I talk to a lot of CEOs and founders of nonprofit organizations and they keep saying they struggle to find board-ready candidates. Thought you two should connect.,CEOs and founders of nonprofit organizations,struggle to find board-ready candidates,executive_search,other,,high,mixed,not_applicable,national,9,26.03
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t pull in top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring leads at small real estate agencies and they keep saying they pipeline dries up whenever they need a senior broker. Thought you two should connect.,founders and hiring leads at small real estate agencies,pipeline dries up whenever they need a senior broker,permanent_recruiting,other,real_estate_services,high,smb,not_applicable,unknown,7,26.57,Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they can't fill contract roles fast enough. Thought you two should connect.,ops managers at growing private companies,can't fill contract roles fast enough,staffing,multi_industry,,medium,smb,not_applicable,national,9,27.08
Ciprani,http://www.cipraniconsulting.com,"Figured I’d reach out — I talk to a lot of brokerage owners in real estate and they keep saying they can’t find qualified agents fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they the temp pool dries up when the line spikes. Thought you two should connect.,ops managers at growing private companies,the temp pool dries up when the line spikes,staffing,multi_industry,,low,mixed,not_applicable,national,7,27.09,Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying their pipeline's always dry when they need a temp. Thought you two should connect.,ops managers at growing private companies,their pipeline's always dry when they need a temp,staffing,multi_industry,,medium,mixed,not_applicable,unknown,7,27.33
Cynergists,http://www.cynergists.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find good VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they can't keep the temp pool filled when needed. Thought you two should connect.,ops managers at growing private companies,can't keep the temp pool filled when needed,staffing,multi_industry,,low,unknown,not_applicable,unknown,7,27.42,Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size nonprofit foundations and they keep saying they board keeps rejecting candidates three months into search. Thought you two should connect.,CEOs and founders at mid-size nonprofit foundations,board keeps rejecting candidates three months into search,executive_search,other,nonprofit,high,mixed,not_applicable,unknown,8,27.61
Mamba VP,http://www.mambavp.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find reliable VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they struggle to find reliable contract workers. Thought you two should connect.,ops managers at growing private companies,struggle to find reliable contract workers,unknown,multi_industry,,low,unknown,not_applicable,national,5,27.64,Figured I'd reach out — I talk to a lot of founders and hiring managers at SMB real estate companies and they keep saying they struggle to find reliable agents quickly. Thought you two should connect.,founders and hiring managers at SMB real estate companies,struggle to find reliable agents quickly,permanent_recruiting,real_estate,real_estate_services,high,smb,not_applicable,unknown,8,27.65
OE Consulting,http://www.oeconsulting.com,"Figured I’d reach out — I talk to a lot of CEOs and board chairs at foundations and they keep saying they can’t find senior leaders who share our mission.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they struggle to find reliable virtual staff. Thought you two should connect.,ops managers at growing private companies,struggle to find reliable virtual staff,sourcing,multi_industry,,low,unknown,not_applicable,unknown,5,28.31,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting C‑suite candidates after endless rounds. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting C‑suite candidates after endless rounds,executive_search,multi_industry,,medium,mixed,not_applicable,unknown,8,29.1
Titan Talent,http://www.titantalentpartners.com,"Figured I’d reach out — I talk to a lot of CEOs and board members at large enterprises and they keep saying they can’t spot or lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying their pipeline's always dry when they need a VP. Thought you two should connect.,CEOs and founders of mid-size companies,pipeline's always dry when they need a VP,executive_search,multi_industry,,low,mixed,not_applicable,unknown,8,29.23,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't land a C‑suite hire before the quarter ends. Thought you two should connect.,CEOs and founders of mid-size companies,can't land a C‑suite hire before the quarter ends,executive_search,multi_industry,,medium,unknown,not_applicable,unknown,7,29.26
Carlson,http://www.carlsongroupllc.com,"Figured I’d reach out — I talk to a lot of CEOs and board members in finance and they keep saying they can’t find senior leaders with the right regulatory chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of mid-size companies,struggle to find the right executive talent,executive_search,unknown,,high,unknown,not_applicable,unknown,8,29.3,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying their board keeps rejecting candidates for months. Thought you two should connect.,CEOs and founders of mid-size companies,their board keeps rejecting candidates for months,executive_search,multi_industry,,medium,mixed,not_applicable,national,8,29.36
IveSearch,http://www.ivesearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders across industries and they keep saying they can’t get top senior leaders.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of various organizations and they keep saying they struggle to find the right leadership talent. Thought you two should connect.,CEOs and founders of various organizations,struggle to find the right leadership talent,executive_search,other,,high,mixed,not_applicable,unknown,8,29.44,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size finance companies and they keep saying their board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size finance companies,board keeps rejecting candidates 3 months in,executive_search,finance,insurance,high,mixed,not_applicable,unknown,8,30.63
NextOne,http://www.nextonestaffing.com,"Figured I’d reach out — I talk to a lot of CEOs and founders and they keep saying they can't attract top‑tier execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they keep losing top candidates to competitors. Thought you two should connect.,CEOs and founders of mid-size companies,keep losing top candidates to competitors,executive_search,unknown,,medium,unknown,not_applicable,national,7,30.93,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't find the right execs fast enough. Thought you two should connect.,CEOs and founders of mid-size companies,can't find the right execs fast enough,executive_search,multi_industry,,medium,mixed,not_applicable,unknown,7,31.01
Excel Talent,http://www.exceltalentsolutions.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at big companies and they keep saying they can’t lock down top exec talent.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying their board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,multi_industry,,medium,unknown,not_applicable,global,8,31.24,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,multi_industry,,low,mixed,not_applicable,global,8,31.78
Gerard Daniels,http://www.gerard-daniels.com,"Figured I’d reach out — I talk to a lot of CEOs and founders at multinational companies and they keep saying they can’t secure top senior execs globally.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they are stuck with board‑rejected C‑suite candidates. Thought you two should connect.,CEOs and founders of mid-size companies,are stuck with board‑rejected C‑suite candidates,executive_search,multi_industry,,low,unknown,not_applicable,unknown,7,32.0,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they struggle to find the right executive fit. Thought you two should connect.,CEOs and founders of mid-size companies,struggle to find the right executive fit,executive_search,multi_industry,,medium,mixed,not_applicable,national,8,32.0
CareerList,http://www.performsearch.com,"Figured I’d reach out — I talk to a lot of CEOs and founders hiring execs and they keep saying they can't find qualified senior execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size companies and they keep saying they board keeps rejecting candidates three months straight. Thought you two should connect.,CEOs and founders at mid-size companies,board keeps rejecting candidates three months straight,executive_search,multi_industry,,low,mixed,not_applicable,national,8,32.01,Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying their board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,unknown,,low,unknown,not_applicable,unknown,6,33.11
InPeak Demand,http://www.inpeakdemand.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in all sorts of companies and they keep saying they can’t get top execs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of hiring managers at renewable energy companies and they keep saying they are struggling to find qualified engineers fast. Thought you two should connect.,hiring managers at renewable energy companies,struggling to find qualified engineers fast,sourcing,other,renewables,medium,unknown,not_applicable,unknown,7,33.12,Figured I'd reach out — I talk to a lot of founders and hiring managers at renewable energy firms and they keep saying they pipeline's always dry when they need a VP. Thought you two should connect.,founders and hiring managers at renewable energy firms,pipeline's always dry when they need a VP,permanent_recruiting,other,renewables,high,mixed,not_applicable,unknown,8,33.25
Slate,http://www.joinslate.com,"Figured I’d reach out — I talk to a lot of CEOs and founders in finance and they keep saying they can’t snag senior finance leaders with niche chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at mid-size companies and they keep saying they board keeps rejecting candidates for the CEO role. Thought you two should connect.,CEOs and founders at mid-size companies,board keeps rejecting candidates for the CEO role,executive_search,multi_industry,,medium,mixed,not_applicable,national,8,33.92,Figured I'd reach out — I talk to a lot of CEOs and founders of Catholic nonprofits and they keep saying they struggle to find mission-driven leaders. Thought you two should connect.,CEOs and founders of Catholic nonprofits,struggle to find mission-driven leaders,executive_search,other,nonprofit,high,mixed,not_applicable,national,9,33.97
