company_name,company_website,old_icebreaker,new_icebreaker,icp,pain,service,secondary_services,business_model,industry,secondary_industries,sub_industry,specificity,company_type,company_stage,geography,confidence,reasoning,extraction_json,t_extract_s,t_icebr_s
Rhino Julie,http://www.rhinosquad.org,"Figured I'd reach out - I talk to a lot of founders of small-to-mid-size businesses and they keep saying they can't fill shift workers fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they pipeline's always dry when they need temps. Thought you two should connect.,ops managers at growing private companies,pipeline's always dry when they need temps,staffing,sourcing,not_specified,multi_industry,,,medium,smb,not_applicable,national,8,"The firm provides virtual assistants to US entrepreneurs, a staffing‑type offering with a clear focus on SMB clients across various sectors, but no single industry niche is stated.","{""primary_service"": ""staffing"", ""secondary_services"": [""sourcing""], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""smb"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""The firm provides virtual assistants to US entrepreneurs, a staffing‑type offering with a clear focus on SMB clients across various sectors, but no single industry niche is stated.""}",2.91,21.17
Virtdrop,http://www.virtdrop.com,"Figured I’d reach out — I talk to a lot of agency owners hiring full‑time VAs and they keep saying they take forever to fill qualified VAs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of nonprofit organizations and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of nonprofit organizations,struggle to find the right executive talent,executive_search,sourcing,retained,other,"nonprofit, education",,high,mixed,not_applicable,national,9,"Staffing Advisors clearly specializes in executive search for associations and nonprofits, indicating a strong niche. They serve a range of organizations with varying budgets, suggesting a mixed client type. The absence of geographic limitations implies a national scope.","{""primary_service"": ""executive_search"", ""secondary_services"": [""sourcing""], ""business_model"": ""retained"", ""primary_industry"": ""other"", ""secondary_industries"": [""nonprofit"", ""education""], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 9, ""reasoning"": ""Staffing Advisors clearly specializes in executive search for associations and nonprofits, indicating a strong niche. They serve a range of organizations with varying budgets, suggesting a mixed client type. The absence of geographic limitations implies a national scope.""}",3.81,21.47
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t find qualified board leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they struggle to find reliable virtual assistants. Thought you two should connect.,ops managers at growing private companies,struggle to find reliable virtual assistants,sourcing,staffing,not_specified,other,,virtual_assistants,medium,unknown,not_applicable,unknown,7,"The company primarily focuses on sourcing and integrating virtual assistants, which indicates a specific service offering. However, there is a lack of clarity regarding the ideal client characteristics, company size, and geographic scope, leading to a medium specificity rating.","{""primary_service"": ""sourcing"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": ""virtual_assistants"", ""specificity"": ""medium"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 7, ""reasoning"": ""The company primarily focuses on sourcing and integrating virtual assistants, which indicates a specific service offering. However, there is a lack of clarity regarding the ideal client characteristics, company size, and geographic scope, leading to a medium specificity rating.""}",4.14,21.34
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t pull in top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at nonprofit foundations and social enterprises and they keep saying they pipeline's always dry when they need a CEO. Thought you two should connect.,CEOs and founders at nonprofit foundations and social enterprises,pipeline's always dry when they need a CEO,executive_search,,not_specified,other,healthcare,nonprofit,high,mixed,not_applicable,national,8,"The firm explicitly positions itself as an executive search firm for associations, foundations, nonprofits and social enterprises, indicating a clear niche. It mentions serving organizations across a wide budget range and multiple sectors (healthcare, education), suggesting mixed client sizes. No VC‑backed focus or geographic restriction is stated, so the model is national and client type is mixed.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [""healthcare""], ""sub_industry"": ""nonprofit"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""The firm explicitly positions itself as an executive search firm for associations, foundations, nonprofits and social enterprises, indicating a clear niche. It mentions serving organizations across a wide budget range and multiple sectors (healthcare, education), suggesting mixed client sizes. No VC‑backed focus or geographic restriction is stated, so the model is national and client type is mixed.""}",3.08,22.95
Ciprani,http://www.cipraniconsulting.com,"Figured I’d reach out — I talk to a lot of brokerage owners in real estate and they keep saying they can’t find qualified agents fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and executive directors at national nonprofit associations and they keep saying they board keeps rejecting candidates after three months. Thought you two should connect.,CEOs and executive directors at national nonprofit associations,board keeps rejecting candidates after three months,executive_search,,not_specified,other,,nonprofit,high,mixed,not_applicable,national,9,"The firm explicitly describes itself as an executive search firm for associations, foundations, nonprofits and social enterprises, indicating a clear niche (high specificity). It serves organizations of varying budget sizes, suggesting a mixed client base, and no geographic limits are stated beyond the United States, implying national scope.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": ""nonprofit"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 9, ""reasoning"": ""The firm explicitly describes itself as an executive search firm for associations, foundations, nonprofits and social enterprises, indicating a clear niche (high specificity). It serves organizations of varying budget sizes, suggesting a mixed client base, and no geographic limits are stated beyond the United States, implying national scope.""}",3.34,22.77
Cynergists,http://www.cynergists.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find good VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at real estate firms and they keep saying they struggle to find reliable agents quickly. Thought you two should connect.,founders and hiring managers at real estate firms,struggle to find reliable agents quickly,permanent_recruiting,staffing,not_specified,real_estate,,real_estate_services,high,unknown,not_applicable,unknown,8,"Ciprani Consulting specializes in recruiting and training within the Real Estate industry, indicating a clear niche. However, there is no explicit mention of client company types or geographic markets served, leading to some uncertainty.","{""primary_service"": ""permanent_recruiting"", ""secondary_services"": [""staffing""], ""business_model"": ""not_specified"", ""primary_industry"": ""real_estate"", ""secondary_industries"": [], ""sub_industry"": ""real_estate_services"", ""specificity"": ""high"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""Ciprani Consulting specializes in recruiting and training within the Real Estate industry, indicating a clear niche. However, there is no explicit mention of client company types or geographic markets served, leading to some uncertainty.""}",6.0,21.27
Mamba VP,http://www.mambavp.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find reliable VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they can’t find good virtual workers on time. Thought you two should connect.,ops managers at growing private companies,can’t find good virtual workers on time,sourcing,,not_specified,multi_industry,,,low,unknown,not_applicable,unknown,5,"Mamba Virtual Placement focuses on connecting businesses with virtual workers, indicating a sourcing service. However, the lack of specific details about industries served, client types, or geographic focus leads to a classification of low specificity and unknown client characteristics.","{""primary_service"": ""sourcing"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 5, ""reasoning"": ""Mamba Virtual Placement focuses on connecting businesses with virtual workers, indicating a sourcing service. However, the lack of specific details about industries served, client types, or geographic focus leads to a classification of low specificity and unknown client characteristics.""}",6.84,20.95
OE Consulting,http://www.oeconsulting.com,"Figured I’d reach out — I talk to a lot of CEOs and board chairs at foundations and they keep saying they can’t find senior leaders who share our mission.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of nonprofits and educational institutions and they keep saying they struggle to find leaders who actually fit. Thought you two should connect.,CEOs and founders of nonprofits and educational institutions,struggle to find leaders who actually fit,executive_search,"sourcing, unknown",retained,other,"nonprofit, education",,high,mixed,not_applicable,unknown,8,"OE Consulting specializes in executive search and has a clear focus on leadership development and strategic planning for various organizations, indicating a strong niche. They serve a mixed client base, including nonprofits and educational institutions, but specific geographic markets and company sizes are not detailed.","{""primary_service"": ""executive_search"", ""secondary_services"": [""sourcing"", ""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""other"", ""secondary_industries"": [""nonprofit"", ""education""], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""OE Consulting specializes in executive search and has a clear focus on leadership development and strategic planning for various organizations, indicating a strong niche. They serve a mixed client base, including nonprofits and educational institutions, but specific geographic markets and company sizes are not detailed.""}",7.25,20.66
Titan Talent,http://www.titantalentpartners.com,"Figured I’d reach out — I talk to a lot of CEOs and board members at large enterprises and they keep saying they can’t spot or lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they struggle to find the right executive talent. Thought you two should connect.,CEOs and founders of mid-size companies,struggle to find the right executive talent,executive_search,"sourcing, unknown",retained,unknown,,,high,unknown,not_applicable,unknown,8,"Titan Talent Partners specializes in executive search for high-level positions, indicating a clear niche in this area. However, there is no explicit information about the industries they serve or the types of client companies, leading to an 'unknown' classification for those fields.","{""primary_service"": ""executive_search"", ""secondary_services"": [""sourcing"", ""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""unknown"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""Titan Talent Partners specializes in executive search for high-level positions, indicating a clear niche in this area. However, there is no explicit information about the industries they serve or the types of client companies, leading to an 'unknown' classification for those fields.""}",9.2,19.17
Carlson,http://www.carlsongroupllc.com,"Figured I’d reach out — I talk to a lot of CEOs and board members in finance and they keep saying they can’t find senior leaders with the right regulatory chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size finance companies and they keep saying they struggle to find the right C-suite talent. Thought you two should connect.,CEOs and founders of mid-size finance companies,struggle to find the right C-suite talent,executive_search,,retained,finance,"construction, unknown",insurance,high,mixed,not_applicable,unknown,8,"Carlson Group specializes in executive search, particularly for C-level and senior management roles in finance and construction, indicating a clear niche. Their focus on a consultative approach and tailored recruitment plans further supports a high specificity classification.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""retained"", ""primary_industry"": ""finance"", ""secondary_industries"": [""construction"", ""unknown""], ""sub_industry"": ""insurance"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""Carlson Group specializes in executive search, particularly for C-level and senior management roles in finance and construction, indicating a clear niche. Their focus on a consultative approach and tailored recruitment plans further supports a high specificity classification.""}",9.3,19.83
