company_name,company_website,old_icebreaker,new_icebreaker,icp,pain,service,secondary_services,business_model,industry,secondary_industries,sub_industry,specificity,company_type,company_stage,geography,confidence,reasoning,extraction_json,t_extract_s,t_icebr_s
Rhino Julie,http://www.rhinosquad.org,"Figured I'd reach out - I talk to a lot of founders of small-to-mid-size businesses and they keep saying they can't fill shift workers fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of agency owners at virtual assistant staffing firms and they keep saying they can't keep VAs from ghosting when you need them. Thought you two should connect.,agency owners at virtual assistant staffing firms,can't keep VAs from ghosting when you need them,staffing,sourcing,not_specified,other,,virtual_assistants,high,mixed,not_applicable,unknown,8,"Virtdrop explicitly offers to source, vet, and place full‑time Virtual Assistants for staffing agencies, which is a staffing service with a clear virtual‑assistant niche. The only industry signal is the focus on virtual assistants, matching the 'virtual_assistants' sub‑industry under 'other'. No client size, geography, or business‑model details are provided, so those fields are set to mixed/unknown.","{""primary_service"": ""staffing"", ""secondary_services"": [""sourcing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [], ""sub_industry"": ""virtual_assistants"", ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""Virtdrop explicitly offers to source, vet, and place full‑time Virtual Assistants for staffing agencies, which is a staffing service with a clear virtual‑assistant niche. The only industry signal is the focus on virtual assistants, matching the 'virtual_assistants' sub‑industry under 'other'. No client size, geography, or business‑model details are provided, so those fields are set to mixed/unknown.""}",2.86,22.28
Virtdrop,http://www.virtdrop.com,"Figured I’d reach out — I talk to a lot of agency owners hiring full‑time VAs and they keep saying they take forever to fill qualified VAs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mission-driven organizations and they keep saying they struggle to find candidates who align with their mission. Thought you two should connect.,CEOs and founders of mission-driven organizations,struggle to find candidates who align with their mission,executive_search,unknown,retained,other,"healthcare, education",,high,mixed,not_applicable,national,9,"Staffing Advisors clearly specializes in executive search for mission-driven organizations, indicating a strong niche. They serve a mix of client types, including nonprofits and associations, and operate nationally without specific geographic limitations.","{""primary_service"": ""executive_search"", ""secondary_services"": [""unknown""], ""business_model"": ""retained"", ""primary_industry"": ""other"", ""secondary_industries"": [""healthcare"", ""education""], ""sub_industry"": null, ""specificity"": ""high"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 9, ""reasoning"": ""Staffing Advisors clearly specializes in executive search for mission-driven organizations, indicating a strong niche. They serve a mix of client types, including nonprofits and associations, and operate nationally without specific geographic limitations.""}",3.69,21.8
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t find qualified board leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of entrepreneurs at small to medium-sized businesses and they keep saying they struggle to find reliable virtual assistants. Thought you two should connect.,entrepreneurs at small to medium-sized businesses,struggle to find reliable virtual assistants,sourcing,unknown,not_specified,other,unknown,virtual_assistants,high,smb,not_applicable,national,8,"Rhino Squad specializes in connecting virtual assistants with US-based entrepreneurs, indicating a clear focus on virtual assistant services. The target clients are small to medium-sized businesses in the US, which aligns with the smb classification.","{""primary_service"": ""sourcing"", ""secondary_services"": [""unknown""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [""unknown""], ""sub_industry"": ""virtual_assistants"", ""specificity"": ""high"", ""company_type"": ""smb"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""Rhino Squad specializes in connecting virtual assistants with US-based entrepreneurs, indicating a clear focus on virtual assistant services. The target clients are small to medium-sized businesses in the US, which aligns with the smb classification.""}",3.95,21.8
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t pull in top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they the bench is always empty when the line spikes. Thought you two should connect.,ops managers at growing private companies,the bench is always empty when the line spikes,staffing,,not_specified,multi_industry,,,low,unknown,not_applicable,unknown,7,"The firm offers dedicated virtual workers, a typical staffing model, without mentioning specific industries, client sizes, or geographic focus, leading to a generic classification.","{""primary_service"": ""staffing"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 7, ""reasoning"": ""The firm offers dedicated virtual workers, a typical staffing model, without mentioning specific industries, client sizes, or geographic focus, leading to a generic classification.""}",5.69,20.39
Ciprani,http://www.cipraniconsulting.com,"Figured I’d reach out — I talk to a lot of brokerage owners in real estate and they keep saying they can’t find qualified agents fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they can't find temps that actually stick around. Thought you two should connect.,ops managers at growing private companies,can't find temps that actually stick around,staffing,,not_specified,multi_industry,,,low,mixed,not_applicable,national,8,"The description emphasizes providing virtual assistants as an extension of client teams, which is a staffing model. It mentions serving diverse sectors (sports, automotive, real estate) without a clear niche, indicating a multi‑industry focus and low specificity. Client size ranges from solopreneurs to larger businesses, suggesting a mixed client type and national reach.","{""primary_service"": ""staffing"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""The description emphasizes providing virtual assistants as an extension of client teams, which is a staffing model. It mentions serving diverse sectors (sports, automotive, real estate) without a clear niche, indicating a multi‑industry focus and low specificity. Client size ranges from solopreneurs to larger businesses, suggesting a mixed client type and national reach.""}",5.97,20.69
Cynergists,http://www.cynergists.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find good VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they struggle to find reliable contract workers. Thought you two should connect.,ops managers at growing private companies,struggle to find reliable contract workers,unknown,,not_specified,multi_industry,,,low,unknown,not_applicable,national,5,Cynergists operates in multiple sectors without a clear focus on a specific industry or client type. The lack of explicit details about their ideal customer profile and engagement structure contributes to a low specificity classification.,"{""primary_service"": ""unknown"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""low"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 5, ""reasoning"": ""Cynergists operates in multiple sectors without a clear focus on a specific industry or client type. The lack of explicit details about their ideal customer profile and engagement structure contributes to a low specificity classification.""}",6.09,21.31
Mamba VP,http://www.mambavp.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find reliable VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,,not_specified,multi_industry,,,medium,unknown,not_applicable,unknown,8,"The firm describes itself as an executive search firm, which is the dominant service. It mentions serving finance, insurance, and construction sectors, indicating multiple industries without a clear primary focus. No details on business model, client company size, or geographic scope are provided.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""not_specified"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm describes itself as an executive search firm, which is the dominant service. It mentions serving finance, insurance, and construction sectors, indicating multiple industries without a clear primary focus. No details on business model, client company size, or geographic scope are provided.""}",8.36,19.5
OE Consulting,http://www.oeconsulting.com,"Figured I’d reach out — I talk to a lot of CEOs and board chairs at foundations and they keep saying they can’t find senior leaders who share our mission.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at boutique real‑estate firms and they keep saying they pipeline dries up right when you need a senior hire. Thought you two should connect.,founders and hiring managers at boutique real‑estate firms,pipeline dries up right when you need a senior hire,permanent_recruiting,sourcing,not_specified,other,healthcare,real_estate_services,high,smb,not_applicable,unknown,7,"The firm explicitly recruits and trains talent for the Real Estate sector, indicating a focused niche (high specificity). It offers recruiting plus systematic screening, matching permanent recruiting and sourcing services. No size, VC, or geographic details are provided, leading to SMB classification and unknown geography.","{""primary_service"": ""permanent_recruiting"", ""secondary_services"": [""sourcing""], ""business_model"": ""not_specified"", ""primary_industry"": ""other"", ""secondary_industries"": [""healthcare""], ""sub_industry"": ""real_estate_services"", ""specificity"": ""high"", ""company_type"": ""smb"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 7, ""reasoning"": ""The firm explicitly recruits and trains talent for the Real Estate sector, indicating a focused niche (high specificity). It offers recruiting plus systematic screening, matching permanent recruiting and sourcing services. No size, VC, or geographic details are provided, leading to SMB classification and unknown geography.""}",6.7,21.36
Titan Talent,http://www.titantalentpartners.com,"Figured I’d reach out — I talk to a lot of CEOs and board members at large enterprises and they keep saying they can’t spot or lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they board keeps rejecting candidates for the C‑suite. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates for the C‑suite,executive_search,,retained,multi_industry,,,medium,unknown,not_applicable,unknown,8,"The firm explicitly offers retained executive search for C‑suite roles, indicating executive_search as the primary service and a retained business model. No industry focus is mentioned, leading to a multi‑industry classification with no sub‑industry. Client size and geography are not specified, so those fields remain unknown.","{""primary_service"": ""executive_search"", ""secondary_services"": [], ""business_model"": ""retained"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""unknown"", ""company_stage"": ""not_applicable"", ""geography"": ""unknown"", ""confidence"": 8, ""reasoning"": ""The firm explicitly offers retained executive search for C‑suite roles, indicating executive_search as the primary service and a retained business model. No industry focus is mentioned, leading to a multi‑industry classification with no sub‑industry. Client size and geography are not specified, so those fields remain unknown.""}",9.27,19.83
Carlson,http://www.carlsongroupllc.com,"Figured I’d reach out — I talk to a lot of CEOs and board members in finance and they keep saying they can’t find senior leaders with the right regulatory chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying their board keeps rejecting candidates 3 months in. Thought you two should connect.,CEOs and founders of mid-size companies,board keeps rejecting candidates 3 months in,executive_search,"permanent_recruiting, unknown",mixed,multi_industry,"retail, finance",,medium,mixed,not_applicable,national,8,"Ives Search specializes in executive recruitment across multiple industries, indicating a mixed client base. They provide both retained and contingency searches, but their specific sub-industry focus is broad, leading to a medium specificity classification.","{""primary_service"": ""executive_search"", ""secondary_services"": [""permanent_recruiting"", ""unknown""], ""business_model"": ""mixed"", ""primary_industry"": ""multi_industry"", ""secondary_industries"": [""retail"", ""finance""], ""sub_industry"": null, ""specificity"": ""medium"", ""company_type"": ""mixed"", ""company_stage"": ""not_applicable"", ""geography"": ""national"", ""confidence"": 8, ""reasoning"": ""Ives Search specializes in executive recruitment across multiple industries, indicating a mixed client base. They provide both retained and contingency searches, but their specific sub-industry focus is broad, leading to a medium specificity classification.""}",9.64,19.89
