company_name,company_website,old_icebreaker,new_icebreaker,icp,pain,service,secondary_services,business_model,industry,secondary_industries,sub_industry,specificity,company_type,company_stage,geography,confidence,reasoning,t_extract_s,t_icebr_s,model
Rhino Julie,http://www.rhinosquad.org,"Figured I'd reach out - I talk to a lot of founders of small-to-mid-size businesses and they keep saying they can't fill shift workers fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they can't keep temps from ghosting after the first week. Thought you two should connect.,ops managers at growing private companies,can't keep temps from ghosting after the first week,staffing,sourcing,not_specified,multi_industry,,,medium,smb,not_applicable,national,8,"The firm provides virtual assistants to US entrepreneurs, positioning it as a staffing provider with sourcing as an additional service. No specific industry focus is mentioned, indicating a multi‑industry client base, and the target clients are small to medium businesses, giving an SMB classification. Geography is US‑wide without a regional focus.",2.84,5.11,gpt_oss_120b
Virtdrop,http://www.virtdrop.com,"Figured I’d reach out — I talk to a lot of agency owners hiring full‑time VAs and they keep saying they take forever to fill qualified VAs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at mid-size companies and they keep saying they lose top candidates after the first interview. Thought you two should connect.,founders and hiring managers at mid-size companies,lose top candidates after the first interview,permanent_recruiting,sourcing,not_specified,multi_industry,,,low,mixed,not_applicable,unknown,7,"The firm markets full‑time virtual assistant placement (permanent recruiting) and mentions a talent pool and sourcing, but gives no industry focus, client size, or geographic scope, leading to a generic, mixed‑client profile.",2.42,3.3,gpt_oss_120b
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t find qualified board leaders fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of growing nonprofits and they keep saying they board keeps rejecting candidates three months in. Thought you two should connect.,CEOs and founders of growing nonprofits,board keeps rejecting candidates three months in,executive_search,,not_specified,other,healthcare,nonprofit,high,mixed,not_applicable,national,9,"The firm explicitly describes itself as an executive search firm for associations, foundations, nonprofits and social enterprises, indicating a clear niche (high specificity). It serves organizations ranging from $2.5M to $240M budgets, spanning small to large nonprofits, so client type is mixed. No fee model or geographic limits are stated, leading to not_specified business model and national scope.",3.61,5.5,gpt_oss_120b
Advisors,http://www.staffingadvisors.com,"Figured I’d reach out — I talk to a lot of board chairs in nonprofits and they keep saying they can’t pull in top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of executives and board chairs at national nonprofits and they keep saying they board keeps rejecting candidates after months of vetting. Thought you two should connect.,executives and board chairs at national nonprofits,board keeps rejecting candidates after months of vetting,executive_search,,not_specified,other,,nonprofit,high,mixed,not_applicable,national,9,"The firm explicitly positions itself as an executive search firm for associations, foundations, nonprofits and social enterprises, indicating a clear niche (high specificity). No pricing or fee structure is disclosed, so business model is not specified. Client budgets range widely, suggesting they serve both smaller and larger mission-driven organizations, leading to a mixed client type.",2.84,3.44,gpt_oss_120b
Ciprani,http://www.cipraniconsulting.com,"Figured I’d reach out — I talk to a lot of brokerage owners in real estate and they keep saying they can’t find qualified agents fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of founders and hiring managers at SMB real estate services firms and they keep saying they can't snag top brokers before they jump ship. Thought you two should connect.,founders and hiring managers at SMB real estate services firms,can't snag top brokers before they jump ship,permanent_recruiting,sourcing,not_specified,other,healthcare,real_estate_services,high,smb,not_applicable,unknown,7,"The firm explicitly states it recruits and trains talent for the Real Estate industry, indicating a focused niche. It offers recruiting (full‑time placement) plus systematic screening, fitting permanent recruiting with a sourcing component. No geographic or client‑size details are provided, so default to unknown geography and SMB client type.",3.09,5.84,gpt_oss_120b
Cynergists,http://www.cynergists.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find good VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of operations managers at growing private companies hiring virtual assistants and they keep saying they can't find reliable VA talent fast enough. Thought you two should connect.,operations managers at growing private companies hiring virtual assistants,can't find reliable VA talent fast enough,staffing,,not_specified,multi_industry,,virtual_assistants,high,mixed,not_applicable,national,8,"The firm describes itself as a staffing company providing virtual assistants, a clear niche within the 'other' category. It serves diverse sectors (sports, automotive, real estate) indicating a multi‑industry focus, and it targets both solopreneurs and larger businesses, suggesting a mixed client base. No geographic limits are mentioned, so a national scope is assumed.",2.59,3.22,gpt_oss_120b
Mamba VP,http://www.mambavp.com,"Figured I’d reach out — I talk to a lot of business owners hiring VAs and they keep saying they can’t find reliable VAs fast enough.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of ops managers at growing private companies and they keep saying they can't keep temps from quitting after a month. Thought you two should connect.,ops managers at growing private companies,can't keep temps from quitting after a month,staffing,,not_specified,multi_industry,,,low,unknown,not_applicable,unknown,7,"The description emphasizes providing virtual workers on demand, which aligns with staffing. No specific industry, client size, or geographic focus is mentioned, leading to a generic, low‑specificity classification.",2.86,2.92,gpt_oss_120b
OE Consulting,http://www.oeconsulting.com,"Figured I’d reach out — I talk to a lot of CEOs and board chairs at foundations and they keep saying they can’t find senior leaders who share our mission.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders at nonprofit foundations and impact finance firms and they keep saying they can't find mission‑aligned execs before the grant deadline. Thought you two should connect.,CEOs and founders at nonprofit foundations and impact finance firms,can't find mission‑aligned execs before the grant deadline,executive_search,,not_specified,other,finance,nonprofit,high,mixed,not_applicable,unknown,8,"The firm explicitly offers executive search and leadership services, targeting foundations, nonprofits, and impact‑focused finance entities, indicating a clear niche. No pricing model or contract type is described, and geographic scope is not stated.",2.72,4.06,gpt_oss_120b
Titan Talent,http://www.titantalentpartners.com,"Figured I’d reach out — I talk to a lot of CEOs and board members at large enterprises and they keep saying they can’t spot or lock down top execs.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't find a VP fast enough. Thought you two should connect.,CEOs and founders of mid-size companies,can't find a VP fast enough,executive_search,"sourcing, staffing",retained,multi_industry,,,high,unknown,not_applicable,unknown,8,"The firm explicitly markets retained executive search for C‑suite roles, indicating a clear executive‑search focus (high specificity). No industry, client size, or geographic scope is mentioned, so industry and client type are unknown; the retained model is directly stated.",4.84,7.45,gpt_oss_120b
Carlson,http://www.carlsongroupllc.com,"Figured I’d reach out — I talk to a lot of CEOs and board members in finance and they keep saying they can’t find senior leaders with the right regulatory chops.

Thought you two should connect.",Figured I'd reach out — I talk to a lot of CEOs and founders of mid-size companies and they keep saying they can't find a solid VP before the board balks. Thought you two should connect.,CEOs and founders of mid-size companies,can't find a solid VP before the board balks,executive_search,,not_specified,multi_industry,"finance, construction",,medium,mixed,not_applicable,unknown,8,"The firm explicitly describes itself as an executive search firm, focusing on finance, insurance, and construction sectors, indicating a multi‑industry focus. No fee model or geographic scope is mentioned, and client size is not defined, leading to a mixed company type classification.",4.78,5.17,gpt_oss_120b
